Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.01,.03,.06,-.02,-.13,-.25,-.18,.07,-.06,-.15,.00,.05,-.05,***,***,-.03,-.12,-.07
1881,-.08,-.07,.09,.09,.08,-.05,-.08,-.02,-.05,-.01,.00,.09,.00,-.01,-.03,.09,-.05,-.02
1882,.06,.07,.07,-.02,-.05,-.16,-.05,.01,-.06,.02,-.01,-.08,-.02,.00,.07,.00,-.07,-.02
1883,-.03,-.09,-.10,-.08,-.11,-.02,-.09,-.05,-.12,-.07,-.05,-.06,-.07,-.07,-.06,-.10,-.06,-.08
1884,-.08,-.05,-.10,-.22,-.33,-.30,-.23,-.06,-.12,-.07,-.11,-.15,-.15,-.14,-.07,-.21,-.20,-.10
1885,-.20,-.23,-.31,-.36,-.33,-.43,-.35,-.23,-.20,-.13,-.11,-.10,-.25,-.25,-.19,-.33,-.33,-.15
1886,-.15,-.20,-.18,-.21,-.16,-.32,-.22,-.19,-.16,-.25,-.16,-.30,-.21,-.19,-.15,-.18,-.24,-.19
1887,-.37,-.44,-.28,-.31,-.35,-.28,-.28,-.17,-.30,-.23,-.25,-.24,-.29,-.30,-.37,-.32,-.24,-.26
1888,-.20,-.13,-.22,-.20,-.30,-.32,-.22,-.10,-.06,.05,.06,.14,-.12,-.16,-.19,-.24,-.21,.02
1889,.07,.02,.12,.02,.01,-.13,-.08,-.20,-.18,-.10,-.06,-.04,-.05,-.03,.08,.05,-.14,-.11
1890,-.20,-.32,-.34,-.35,-.44,-.33,-.33,-.39,-.38,-.39,-.25,-.17,-.33,-.31,-.19,-.38,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.18,-.29,-.24,-.22,-.24,-.16,-.10,-.05,-.20,-.21,-.21,-.19,-.25,-.17
1892,-.09,-.05,-.14,-.22,-.23,-.38,-.26,-.21,-.13,-.01,-.03,-.12,-.16,-.15,-.06,-.20,-.28,-.06
1893,-.12,-.17,-.12,-.24,-.25,-.32,-.15,-.17,-.17,-.09,-.04,-.03,-.16,-.16,-.14,-.20,-.21,-.10
1894,-.14,-.16,-.24,-.36,-.36,-.40,-.27,-.21,-.24,-.18,-.03,-.07,-.22,-.22,-.11,-.32,-.30,-.15
1895,-.14,-.06,-.17,-.25,-.25,-.22,-.15,-.07,-.19,-.13,-.21,-.06,-.16,-.16,-.09,-.22,-.15,-.18
1896,-.08,-.07,-.04,-.01,-.16,-.29,-.05,.00,-.03,.08,.12,.12,-.04,-.05,-.07,-.07,-.12,.06
1897,.09,.07,.11,-.01,-.17,-.17,-.09,-.12,-.11,-.10,-.10,-.13,-.06,-.04,.09,-.02,-.13,-.11
